product_id,source,source_product_id,name,description,composition,materials,care,product_url,category_urls,department,base_price,currency,colors,sizes,source_last_seen_at,status,evidence_file,classification,completeness
zara-us:00122342,zara_us_public,00122342,WASHED-EFFECT RELAXED-FIT SHIRT,"Relaxed-fit shirt crafted from an ultra-lightweight cotton fabric. Features a lapel collar and long sleeves finished with button cuffs. Patch pocket on the chest. Washed effect. Front button closure.

The garment has a unique appearance thanks to its special washing process. As a result, the color may vary slightly from the one shown in the photo.","[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% cotton""}]",100% cotton,,https://www.zara.com/us/en/relaxed-fit-washed-effect-shirt-p00122342.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,69.90,USD,"[""Blue marl""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:26:33.619Z,observed,data\raw\zara\00122342.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:00794102,zara_us_public,00794102,RELAXED FIT PLAID SHIRT,Relaxed-fit shirt crafted from cotton fabric. Features a spread collar and long sleeves finished with buttoned cuffs. Adjustable hem with elastic at the sides. Front button closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% cotton""}]",100% cotton,,https://www.zara.com/us/en/relaxed-fit-plaid-shirt-p00794102.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,79.90,USD,"[""Gray green""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:24:21.207Z,observed,data\raw\zara\00794102.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:00975847,zara_us_public,00975847,REGULAR FIT POCKET SHIRT,Regular fit shirt made from cotton fabric. Italian collar and long sleeves finished with button cuffs. Patch pocket on the chest. Front button closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% cotton""}]",100% cotton,,https://www.zara.com/us/en/regular-fit-pocket-shirt-p00975847.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,69.90,USD,"[""Oil""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:24:34.207Z,observed,data\raw\zara\00975847.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:00975853,zara_us_public,00975853,REGULAR FIT PLAID SHIRT,Regular fit shirt made from cotton fabric. Open Italian collar and long sleeves finished with buttoned cuffs. Front button closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% cotton""}]",100% cotton,,https://www.zara.com/us/en/regular-fit-plaid-shirt-p00975853.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,69.90,USD,"[""Blue / White""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:24:22.866Z,observed,data\raw\zara\00975853.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:01030731,zara_us_public,01030731,BOXY FIT SHIRT,"Boxy fit shirt crafted from cotton fabric. Features a lapel collar, long sleeves with buttoned cuffs, a patch pocket on the chest, and a front button fastening.","[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% cotton""}]",100% cotton,,https://www.zara.com/us/en/striped-boxy-fit-shirt-p01030731.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,69.90,USD,"[""Blue"", ""Sky blue"", ""White""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:24:17.111Z,observed,data\raw\zara\01030731.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:01038623,zara_us_public,01038623,OVERSIZED POCKET SHIRT,Oversized-fit shirt crafted from cotton fabric. Features an Italian collar and long sleeves finished with buttoned cuffs. Patch pocket on the chest. Front button closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% cotton""}]",100% cotton,,https://www.zara.com/us/en/oversized-patch-pocket-shirt-p01038623.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,79.90,USD,"[""Gray""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:26:30.569Z,observed,data\raw\zara\01038623.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:01063447,zara_us_public,01063447,CHECKED REGULAR FIT SHIRT,Regular fit shirt made of cotton fabric. Button-down collar and long sleeves with buttoned cuffs. Front button closure.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% cotton""}]",100% cotton,,https://www.zara.com/us/en/checked-regular-fit-shirt-p01063447.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,59.90,USD,"[""Blue / Green""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:26:51.345Z,observed,data\raw\zara\01063447.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:01210228,zara_us_public,01210228,PLAID SHORT JUMPSUIT WITH LOOPS,Short jumpsuit with a stand-up collar and sleeveless design with shoulder pads. Features shoulder loop details. Contrasting inner lining. Back zip fastening hidden in the seam.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""63% polyester, 32% viscose, 5% elastane""}, {""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""LINING"", ""value"": ""100% polyester""}]",polyester/viscose/elastane,,https://www.zara.com/us/en/plaid-short-jumpsuit-with-tabs-p01210228.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,59.90,USD,"[""Ecru / Navy""]","[""L"", ""M"", ""S"", ""XL"", ""XS"", ""XXL""]",2026-09-06T04:28:49.600Z,observed,data\raw\zara\01210228.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:01437358,zara_us_public,01437358,FLUID RELAXED-FIT POLO SHIRT,Relaxed-fit polo shirt crafted from fluid lyocell-blend fabric. Features a lapel collar with a concealed button-front closure. Long sleeves finished with buttoned cuffs. Washed effect.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""70% lyocell, 30% polyester""}]",lyocell/polyester,,https://www.zara.com/us/en/fluid-relaxed-fit-polo-shirt-p01437358.html,"[""https://www.zara.com/us/en/man-shirts-l737.html""]",Man,79.90,USD,"[""Dark khaki""]","[""L"", ""M"", ""S"", ""XL""]",2026-09-06T04:26:32.279Z,observed,data\raw\zara\01437358.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
zara-us:01758151,zara_us_public,01758151,RING-DETAIL LACE STRAPPY DRESS,Long semi-sheer dress made from soft lace fabric. Round neckline with ring details and adjustable spaghetti straps. Concealed metal hook closures at the bust and a side zipper.,"[{""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""OUTER SHELL"", ""value"": ""100% polyamide""}, {""@type"": ""PropertyValue"", ""propertyID"": ""Composition"", ""name"": ""LINING"", ""value"": ""97% polyester, 3% elastane""}]",100% polyamide,,https://www.zara.com/us/en/lace-underwire-spaghetti-strap-dress-p01758151.html,"[""https://www.zara.com/us/en/woman-dresses-l1066.html""]",Woman,169.00,USD,"[""Toffee""]","[""L"", ""M"", ""S"", ""XL"", ""XS""]",2026-09-06T04:27:59.033Z,observed,data\raw\zara\01758151.json,PUBLICLY OBSERVED,captured JSON-LD only; not guaranteed exhaustive
